user_id,unit_id,quest_coins_earned,quest_completed_count,bounty_completed,perfect_standard_quiz,perfect_bounty,updated_at
anon_1766811044623_k1wf03w,u1,50,1,false,false,false,2025-12-29 20:12:27.772+00
test-user-123,u1,10,1,false,false,false,2025-12-29 20:11:58.987+00
